,My ID,id,title,readyInMinutes,nutrition>caloricBreakdown>percentProtein,nutrition>caloricBreakdown>percentFat,nutrition>caloricBreakdown>percentCarbs,servings,image,sourceUrl,summary,aggregateLikes,winePairing>pairedWines,winePairing>pairingText
10,67030,67030,Eggy Grits Soufflé,45,24.07,38.27,37.66,4,https://spoonacular.com/recipeImages/67030-556x370.jpg,http://www.epicurious.com/recipes/food/views/Eggy-Grits-Souffle-352190,"Need a <b>gluten free morn meal</b>? Eggy Grits Soufflé could be a super recipe to try. One portion of this dish contains about <b>11g of protein</b>, <b>8g of fat</b>, and a total of <b>197 calories</b>. This recipe serves 4 and costs 51 cents per serving. It is brought to you by Epicurious. 1 person has tried and liked this recipe. It is a <b>very reasonably priced</b> recipe for fans of Southern food. Head to the store and pick up tabasco sauce, salt and pepper, milk, and a few other things to make it today. From preparation to the plate, this recipe takes around <b>45 minutes</b>. Overall, this recipe earns a <b>not so tremendous spoonacular score of 26%</b>. Similar recipes are <a href=""https://spoonacular.com/recipes/grits-souffle-133229"">Grits Souffle'</a>, <a href=""https://spoonacular.com/recipes/overnight-grits-souffle-133259"">Overnight Grits Souffle</a>, and <a href=""https://spoonacular.com/recipes/hominy-grits-souffl-67076"">Hominy Grits Soufflé</a>.",0,"['riesling', 'sparkling wine', 'zinfandel']","Riesling, Sparkling Wine, and Zinfandel are my top picks for Southern. In general, there are a few rules that will help you pair wine with southern food. Food-friendly riesling or sparkling white wine will work with many fried foods, while zinfandel is great with barbecued fare. The Pro-Bono Riesling with a 4.3 out of 5 star rating seems like a good match. It costs about 12 dollars per bottle."
11,55193,55193,Cracker Barrel Double Fudge Coca Cola Cake,40,2.86,36.27,60.87,1,https://spoonacular.com/recipeImages/55193-556x370.jpg,http://www.recipezaar.com/Cracker-Barrel-Double-Fudge-Coca-Cola-Cake-162337,"Cracker Barrel Double Fudge Coca Cola Cake might be a good recipe to expand your dessert recipe box. For <b>$6.78 per serving</b>, this recipe <b>covers 63%</b> of your daily requirements of vitamins and minerals. This recipe serves 1. One serving contains <b>7014 calories</b>, <b>51g of protein</b>, and <b>289g of fat</b>. This recipe is typical of Southern cuisine. From preparation to the plate, this recipe takes about <b>40 minutes</b>. 5 people were glad they tried this recipe. It is brought to you by Recipezaar. Head to the store and pick up vanilla, buttermilk, flour, and a few other things to make it today. Overall, this recipe earns a <b>spectacular spoonacular score of 88%</b>. Try <a href=""https://spoonacular.com/recipes/cracker-barrel-double-fudge-coca-cola-cake-128074"">Cracker Barrel Double Fudge Coca Cola Cake</a>, <a href=""https://spoonacular.com/recipes/cracker-barrel-the-old-country-store-double-fudge-coca-cola-cake-599224"">Cracker Barrel The Old Country Store Double Fudge Coca Cola Cake</a>, and <a href=""https://spoonacular.com/recipes/cracker-barrel-coca-cola-cake-another-seasonal-specialty-that-tastes-just-like-the-real-thing-600537"">Cracker Barrel Coca Cola Cake – another seasonal specialty that tastes just like the real thing</a> for similar recipes.",5,"['riesling', 'sparkling wine', 'zinfandel']","Riesling, Sparkling Wine, and Zinfandel are great choices for Southern. In general, there are a few rules that will help you pair wine with southern food. Food-friendly riesling or sparkling white wine will work with many fried foods, while zinfandel is great with barbecued fare. One wine you could try is Barefoot Cellars Riesling Wine. It has 5 out of 5 stars and a bottle costs about 13 dollars."
12,53427,53427,Cakespy: Berlinerkranser,45,5.42,42.04,52.54,36,https://spoonacular.com/recipeImages/53427-556x370.jpg,http://www.seriouseats.com/recipes/2009/12/cakespy-berlinerkranser-cookies-recipe.html,"You can never have too many hor d'oeuvre recipes, so give Cakespy: Berlinerkranser a try. This recipe serves 36. For <b>40 cents per serving</b>, this recipe <b>covers 8%</b> of your daily requirements of vitamins and minerals. Watching your figure? This vegetarian recipe has <b>169 calories</b>, <b>2g of protein</b>, and <b>8g of fat</b> per serving. 1 person has made this recipe and would make it again. If you have flour, eggs, egg white, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 28%</b>. This score is not so super. Try <a href=""https://spoonacular.com/recipes/cakespy-avatarts-196164"">Cakespy: Avatarts</a>, <a href=""https://spoonacular.com/recipes/cakespy-pie-fries-195309"">Cakespy: Pie Fries</a>, and <a href=""https://spoonacular.com/recipes/cakespy-an-educaketion-198687"">Cakespy: An Educaketion</a> for similar recipes.",0,,
13,123921,123921,Apple-Raisin Cookies,30,5.24,26.64,68.12,26,https://spoonacular.com/recipeImages/123921-556x370.png,http://www.marthastewart.com/332404/apple-raisin-cookies,"Apple-Raisin Cookies might be just the dessert you are searching for. Watching your figure? This vegetarian recipe has <b>136 calories</b>, <b>2g of protein</b>, and <b>4g of fat</b> per serving. This recipe serves 26 and costs 19 cents per serving. This recipe from Martha Stewart has 9 fans. Head to the store and pick up flour, raisins, dark-brown sugar, and a few other things to make it today. From preparation to the plate, this recipe takes approximately <b>30 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 15%</b>. This score is not so tremendous. Similar recipes are <a href=""https://spoonacular.com/recipes/walnut-raisin-apple-cookies-393361"">Walnut Raisin Apple Cookies</a>, <a href=""https://spoonacular.com/recipes/apple-pumpkin-oatmeal-raisin-cookies-511185"">Apple Pumpkin Oatmeal Raisin Cookies</a>, and <a href=""https://spoonacular.com/recipes/apple-cinnamon-oatmeal-raisin-cookies-528041"">Apple Cinnamon Oatmeal Raisin Cookies</a>.",9,,
14,93337,93337,Beef N Veg Cabbage Rolls,55,34.62,18.64,46.74,9,https://spoonacular.com/recipeImages/93337-556x370.jpg,http://www.food.com/recipe/beef-n-veg-cabbage-rolls-408040,"Beef N Veg Cabbage Rolls might be just the main course you are searching for. One portion of this dish contains roughly <b>16g of protein</b>, <b>4g of fat</b>, and a total of <b>171 calories</b>. This caveman, gluten free, dairy free, and primal recipe serves 9 and costs <b>$2.18 per serving</b>. 1 person has tried and liked this recipe. From preparation to the plate, this recipe takes around <b>55 minutes</b>. A mixture of asparagus, pepper, cabbage, and a handful of other ingredients are all it takes to make this recipe so scrumptious. It is brought to you by Food.com. With a spoonacular <b>score of 70%</b>, this dish is pretty good. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/cabbage-beef-casserole-lazy-cabbage-rolls-dairy-free-94196"">Cabbage Beef Casserole (Lazy Cabbage Rolls)  - Dairy Free</a>, <a href=""https://spoonacular.com/recipes/cabbage-rolls-with-beef-93713"">Cabbage Rolls With Beef</a>, and <a href=""https://spoonacular.com/recipes/korean-spiced-beef-and-cabbage-rolls-93438"">Korean-Spiced Beef and Cabbage Rolls</a>.",0,,
15,58236,58236,Cream Cake with Fresh Strawberries,45,4.87,45.18,49.95,12,https://spoonacular.com/recipeImages/58236-556x370.jpg,http://www.myrecipes.com/recipe/cream-cake-with-fresh-strawberries-10000001182873/,"You can never have too many dessert recipes, so give Cream Cake with Fresh Strawberries a try. One portion of this dish contains roughly <b>5g of protein</b>, <b>19g of fat</b>, and a total of <b>380 calories</b>. This recipe serves 12. For <b>$1.08 per serving</b>, this recipe <b>covers 10%</b> of your daily requirements of vitamins and minerals. 1 person were impressed by this recipe. It is a good option if you're following a <b>vegetarian</b> diet. Head to the store and pick up salt, eggs, whipping cream, and a few other things to make it today. From preparation to the plate, this recipe takes about <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 32%</b>. This score is rather bad. Similar recipes include <a href=""https://spoonacular.com/recipes/angel-food-cake-with-nutella-drizzle-fresh-strawberries-mascarpone-cream-543598"">Angel Food Cake with Nutella Drizzle, Fresh Strawberries & Mascarpone Cream</a>, <a href=""https://spoonacular.com/recipes/fresh-strawberries-amaretto-cream-pie-390015"">Fresh Strawberries & Amaretto Cream Pie</a>, and <a href=""https://spoonacular.com/recipes/fresh-strawberries-and-blueberries-with-almond-cream-481906"">Fresh Strawberries And Blueberries with Almond Cream</a>.",0,,
16,45655,45655,French Onion Soup,461,21.27,47.07,31.66,4,https://spoonacular.com/recipeImages/45655-556x370.jpg,http://framed-mylifeonepictureatatime.blogspot.com/2010/12/french-onion-soup.html,"The recipe French Onion Soup could satisfy your Mediterranean craving in approximately <b>7 hours and 41 minutes</b>. This recipe makes 4 servings with <b>777 calories</b>, <b>36g of protein</b>, and <b>32g of fat</b> each. For <b>$5.54 per serving</b>, this recipe <b>covers 32%</b> of your daily requirements of vitamins and minerals. 16 people were impressed by this recipe. <b>Autumn</b> will be even more special with this recipe. A mixture of sprigs thyme, gruyère cheese, cups water, and a handful of other ingredients are all it takes to make this recipe so yummy. To use up the table salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/chocolate-chip-banana-bread-plus-sweet-banana-roundup-532666"">Chocolate Chip Banana Bread Plus Sweet Banana Roundup</a> as a dessert. A few people really liked this main course. All things considered, we decided this recipe <b>deserves a spoonacular score of 73%</b>. This score is solid. Try <a href=""https://spoonacular.com/recipes/le-cafe-ile-st-louis-onion-soup-gratinee-this-is-a-new-take-on-the-classic-french-onion-soup-599269"">Le Cafe Ile St. Louis Onion Soup Gratinee – this is a new take on the classic French Onion Soup</a>, <a href=""https://spoonacular.com/recipes/french-onion-soup-topped-french-bread-pizzas-and-salad-with-dijon-vinaigrette-312082"">French Onion Soup Topped French Bread Pizzas and Salad with Dijon Vinaigrette</a>, and <a href=""https://spoonacular.com/recipes/crockpot-french-onion-soup-with-cheesy-french-toast-685740"">Crockpot French Onion Soup with Cheesy French Toast</a> for similar recipes.",16,,
17,105251,105251,Zucchini Bread,70,7.07,21.65,71.28,16,https://spoonacular.com/recipeImages/105251-556x370.jpg,http://www.food.com/recipe/zucchini-bread-17123,"Zucchini Bread might be just the morn meal you are searching for. This recipe serves 16 and costs 51 cents per serving. Watching your figure? This dairy free and vegetarian recipe has <b>295 calories</b>, <b>5g of protein</b>, and <b>7g of fat</b> per serving. This recipe is liked by 95 foodies and cooks. If you have zucchini, sugar, nuts, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes about <b>1 hour and 10 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 34%</b>. This score is rather bad. Similar recipes include <a href=""https://spoonacular.com/recipes/naptime-chef-favorite-zucchini-bread-or-zucchini-muffins-80472"">Naptime Chef Favorite Zucchini Bread (or Zucchini Muffins)</a>, <a href=""https://spoonacular.com/recipes/zucchini-bread-28069"">Zucchini Bread</a>, and <a href=""https://spoonacular.com/recipes/low-fat-zucchini-bread-105049"">Low-fat Zucchini Bread</a>.",95,,
18,104904,104904,Curried Squash-and-Pear Bisque,45,5.48,15.87,78.65,8,https://spoonacular.com/recipeImages/104904-556x370.jpg,http://www.myrecipes.com/recipe/curried-squash-and-pear-bisque-10000000222625/,"Curried Squash-and-Pear Bisque is a <b>gluten free and vegetarian</b> soup. This recipe serves 8. For <b>$1.15 per serving</b>, this recipe <b>covers 15%</b> of your daily requirements of vitamins and minerals. One serving contains <b>190 calories</b>, <b>3g of protein</b>, and <b>4g of fat</b>. Head to the store and pick up salt, butter, pepper, and a few other things to make it today. This recipe from My Recipes has 1 fans. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 45%</b>. This score is good. Similar recipes include <a href=""https://spoonacular.com/recipes/curried-winter-squash-bisque-554518"">Curried Winter Squash Bisque</a>, <a href=""https://spoonacular.com/recipes/curried-butternut-squash-bisque-697126"">Curried Butternut Squash Bisque</a>, and <a href=""https://spoonacular.com/recipes/curried-butternut-squash-bisque-105881"">Curried Butternut Squash Bisque</a>.",0,,
19,59022,59022,Kiwi-Mango Salsa,45,6.33,6.49,87.18,1,https://spoonacular.com/recipeImages/59022-556x370.jpg,http://www.myrecipes.com/recipe/kiwi-mango-salsa-10000001875580/,"Kiwi-Mango Salsa might be just the hor d'oeuvre you are searching for. This recipe serves 1. One portion of this dish contains around <b>7g of protein</b>, <b>3g of fat</b>, and a total of <b>410 calories</b>. For <b>$4.78 per serving</b>, this recipe <b>covers 29%</b> of your daily requirements of vitamins and minerals. 1 person were impressed by this recipe. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. A mixture of sugar, serrano chili, salt, and a handful of other ingredients are all it takes to make this recipe so yummy. It is a <b>pretty expensive</b> recipe for fans of Mexican food. It is a good option if you're following a <b>gluten free and vegan</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 79%</b>. This score is pretty good. Try <a href=""https://spoonacular.com/recipes/sunny-hot-salsa-pineapple-mango-kiwi-salsa-148792"">Sunny & Hot! Salsa (Pineapple Mango Kiwi Salsa)</a>, <a href=""https://spoonacular.com/recipes/kiwi-mango-salsa-58708"">Kiwi Mango Salsa</a>, and <a href=""https://spoonacular.com/recipes/kiwi-mango-salsa-58834"">Kiwi Mango Salsa</a> for similar recipes.",0,"['riesling', 'sparkling rose', 'pinot noir']","Mexican on the menu? Try pairing with Riesling, Sparkling rosé, and Pinot Noir. Acidic white wines like riesling or low-tannin reds like pinot noir can work well with Mexican dishes. Sparkling rosé is a safe pairing too. The King Frosch Riesling Kabinett Wine with a 5 out of 5 star rating seems like a good match. It costs about 20 dollars per bottle."
20,52398,52398,Frozen Melon Bites,45,2.01,39.31,58.68,6,https://spoonacular.com/recipeImages/52398-556x370.jpg,http://www.rachaelray.com/recipe.php?recipe_id=2069,"Frozen Melon Bites might be just the side dish you are searching for. One serving contains <b>150 calories</b>, <b>1g of protein</b>, and <b>7g of fat</b>. This gluten free, fodmap friendly, and vegan recipe serves 6 and costs <b>40 cents per serving</b>. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. If you have coconut, melon, raspberry jam, and a few other ingredients on hand, you can make it. 18 people were glad they tried this recipe. All things considered, we decided this recipe <b>deserves a spoonacular score of 21%</b>. This score is rather bad. Similar recipes are <a href=""https://spoonacular.com/recipes/peach-melon-frozen-yogurt-696470"">Peach-Melon Frozen Yogurt</a>, <a href=""https://spoonacular.com/recipes/frozen-melon-margarita-pops-127644"">Frozen Melon-Margarita Pops</a>, and <a href=""https://spoonacular.com/recipes/mango-melon-bites-372683"">Mango Melon Bites</a>.",18,,
